VendorName,Dollars,Quantity,PaymentDelay,PerformanceScore
DIAGEO NORTH AMERICA INC   ,50959796.85,5459788,35.61818181818182,1037.7676775909092
MARTIGNETTI COMPANIES,27821473.91,2637275,36.78181818181818,523.551330009091
JIM BEAM BRANDS COMPANY    ,24203151.05,2737165,35.67272727272727,497.91164686363635
PERNOD RICARD USA          ,24124091.56,1647558,36.07272727272727,387.96035196363636
CONSTELLATION BRANDS INC   ,15573917.9,2325892,36.29090909090909,370.1829244545455
BACARDI USA INC            ,17624378.72,1427075,34.78181818181818,301.56037810909095
E & J GALLO WINERY         ,12289608.09,1858260,36.54545454545455,290.4493536272728
M S WALKER INC             ,10935817.3,1372841,35.6,228.842273
SAZERAC CO INC             ,9916770.26,1417727,35.72727272727273,223.07676623636365
ULTRA BEVERAGE COMPANY LLP ,13210613.93,1077527,35.69090909090909,222.01338475454546
BROWN-FORMAN CORP          ,13529433.08,1006122,36.163636363636364,217.82471261818182
PROXIMO SPIRITS INC.       ,7588029.9,682042,35.527272727272724,126.32086263636363
WINE GROUP INC             ,5258636.79,888385,35.74545454545454,123.55214062727273
MOET HENNESSY USA INC      ,9472995.2,427867,35.43636363636364,119.79847018181817
PERFECTA WINES             ,5665501.53,553116,35.09090909090909,94.42116075454547
CAMPARI AMERICA            ,4141720.71,501284,36.09090909090909,73.50015255454547
WILLIAM GRANT & SONS INC   ,5960744.35,302685,36.63636363636363,71.55776168181819
SAZERAC NORTH AMERICA INC. ,3537977.55,503931,36.14545454545455,67.70014822727272
TREASURY WINE ESTATES      ,2978686.4,497770,34.836363636363636,62.145682181818174
MAJESTIC FINE WINES        ,3506668.63,446119,36.70909090909091,61.32404084545455
SOUTHERN WINE & SPIRITS NE ,3699813.46,402677,36.49090909090909,59.020380054545456
PINE STATE TRADING CO      ,3129071.59,424427,34.36363636363637,56.551597718181824
STE MICHELLE WINE ESTATES  ,3086650.7,419822,34.50909090909091,55.594161545454554
"STOLI GROUP,(USA) LLC      ",3666478.72,314035,34.25454545454546,50.94101447272729
PALM BAY INTERNATIONAL INC ,2693984.33,375697,36.163636363636364,46.427725118181826
HEAVEN HILL DISTILLERIES   ,2816661.94,352348,35.43636363636364,45.68323758181818
TRINCHERO FAMILY ESTATES   ,2252211.31,352526,33.945454545454545,40.80198582727273
LUXCO INC                  ,2051436.01,283260,34.872727272727275,31.40399646363636
