VendorName,Dollars,Freight,PaymentDelay,RiskScore
DIAGEO NORTH AMERICA INC   ,50959796.85,257032.07,35.61818181818182,77633.46624122727
MARTIGNETTI COMPANIES,27821473.91,144719.92,36.78181818181818,43708.903466372736
JIM BEAM BRANDS COMPANY    ,24203151.05,123880.97,35.67272727272727,37420.59160140908
PERNOD RICARD USA          ,24124091.56,123780.22,36.07272727272727,37389.73600650909
BACARDI USA INC            ,17624378.72,89286.27,34.78181818181818,26976.03751447273
CONSTELLATION BRANDS INC   ,15573917.9,79528.99,36.29090909090909,24028.952542636365
BROWN-FORMAN CORP          ,13529433.08,68601.68,36.163636363636364,20730.26378534545
ULTRA BEVERAGE COMPANY LLP ,13210613.93,68054.7,35.69090909090909,20562.79250293636
E & J GALLO WINERY         ,12289608.09,61966.91,36.54545454545455,18727.58726271818
M S WALKER INC             ,10935817.3,55551.82,35.6,16789.144173
SAZERAC CO INC             ,9916770.26,50293.62,35.72727272727273,15201.544611690908
MOET HENNESSY USA INC      ,9472995.2,48347.26,35.43636363636364,14613.082497454545
PROXIMO SPIRITS INC.       ,7588029.9,38994.78,35.527272727272724,11788.525208090909
WILLIAM GRANT & SONS INC   ,5960744.35,30234.420000000002,36.63636363636363,9144.587988954545
PERFECTA WINES             ,5665501.53,28720.52,35.09090909090909,8686.847378936363
WINE GROUP INC             ,5258636.79,27100.41,35.74545454545454,8197.00754971818
CAMPARI AMERICA            ,4141720.71,20964.81,36.09090909090909,6345.296570736364
SOUTHERN WINE & SPIRITS NE ,3699813.46,18808.83,36.49090909090909,5694.243498236365
"STOLI GROUP,(USA) LLC      ",3666478.72,18544.49,34.25454545454546,5613.713605381819
SAZERAC NORTH AMERICA INC. ,3537977.55,17932.33,36.14545454545455,5429.5369573181815
MAJESTIC FINE WINES        ,3506668.63,17587.59,36.70909090909091,5326.027322663636
REMY COINTREAU USA INC     ,3354958.28,16978.67,35.54545454545455,5141.368764618182
STE MICHELLE WINE ESTATES  ,3086650.7,15919.7,34.50909090909091,4820.580143363636
PINE STATE TRADING CO      ,3129071.59,15884.82,34.36363636363637,4810.482170445454
TREASURY WINE ESTATES      ,2978686.4,14836.57,34.836363636363636,4494.692409454545
HEAVEN HILL DISTILLERIES   ,2816661.94,14069.87,35.43636363636364,4263.3021648545455
PALM BAY INTERNATIONAL INC ,2693984.33,13605.41,36.163636363636364,4123.028297845453
TRINCHERO FAMILY ESTATES   ,2252211.31,11595.97,33.945454545454545,3514.8912949181813
LUXCO INC                  ,2051436.01,10261.6,34.872727272727275,3112.943451009091
EDRINGTON AMERICAS         ,1882832.84,9654.5,35.2037037037037,2929.2598098814815
MHW LTD                    ,1888333.01,9621.58,34.92727272727273,2919.328239190909
KOBRAND CORPORATION        ,1808146.33,9139.380000000001,35.0,2773.8954633000003
SIDNEY FRANK IMPORTING CO  ,1715908.88,8549.55,36.32727272727273,2596.554997890909
BANFI PRODUCTS CORP        ,1628866.68,8510.41,35.2,2583.4916668
CASTLE BRANDS CORP.        ,1679383.91,8497.59,35.69090909090909,2580.3472027363637
STATE WINE & SPIRITS   ,1529682.04,8014.98,35.61818181818182,2434.038093127272
DELICATO VINEYARDS INC     ,1561444.63,7982.65,36.38181818181818,2424.962173572727
DIAGEO CHATEAU ESTATE WINES,1365472.83,7259.75,35.63636363636363,2205.8342737545454
VINEYARD BRANDS INC        ,1196162.81,6015.86,35.43636363636364,1830.8941735545454
DISARONNO INTERNATIONAL LLC,1141947.85,5861.03,36.50909090909091,1784.3321148636362
FREDERICK WILDMAN & SONS   ,759449.24,3999.93,35.85454545454545,1221.915310581818
SHAW ROSS INT L IMP LTD    ,624979.64,3151.92,34.49090909090909,965.6221600363637
VINILANDIA USA             ,548855.37,2802.64,35.6,860.5205536999999
PHILLIPS PRODUCTS CO.      ,430945.89,2211.83,35.49090909090909,682.0548225363636
WESTERN SPIRITS BEVERAGE CO,361249.21,1933.19,35.30909090909091,597.6931284636364
OLE SMOKY DISTILLERY LLC   ,387622.69,1922.0,34.25925925925926,594.1799306037037
FABRIZIA SPIRITS LLC       ,358390.62,1824.8899999999999,35.407407407407405,565.213869162963
CHARLES JACQUIN ET CIE INC ,329637.62,1675.3899999999999,34.345454545454544,519.6515580181818
LATITUDE BEVERAGE COMPANY  ,316446.76,1610.0,34.63636363636363,500.0190130545455
FLAG HILL WINERY & VINEYARD,300403.2,1573.31,34.25454545454546,488.6988501818181
MCCORMICK DISTILLING CO    ,310552.87,1567.85,34.44444444444444,487.2383064777777
CRUSH WINES                ,287189.9,1457.73,35.054545454545455,454.21271718181816
